Date,Category,Description,Amount,Payment Method
2025-03-05,Groceries,Costco,198.45,Credit Card
2025-03-06,Subscription,Netflix Monthly,15.99,Credit Card
2025-03-07,Dining,Korean BBQ with friends,87.00,Credit Card
2025-03-08,Shopping,REI - hiking boots,179.99,Credit Card
2025-03-09,Travel,Southwest flight to Austin,247.00,Credit Card
2025-03-09,Travel,Austin hotel 3 nights,537.00,Credit Card
2025-03-10,Dining,Austin BBQ - Franklin's,68.50,Credit Card
2025-03-11,Travel,Rental car - Austin,142.00,Credit Card
2025-03-12,Dining,Food truck festival,35.00,Debit Card
2025-03-13,Travel,Gas - rental car,41.20,Debit Card
2025-03-14,Groceries,Whole Foods Market,82.10,Credit Card
2025-03-15,Utilities,Electric bill,135.40,Bank Transfer
2025-03-15,Utilities,Internet - Comcast,79.99,Bank Transfer
2025-03-16,Health,Gym membership - March,49.99,Credit Card
2025-03-17,Groceries,Trader Joe's,44.56,Debit Card
2025-03-18,Dining,Panera Bread lunch,13.89,Debit Card
2025-03-19,Subscription,Spotify Premium,10.99,Credit Card
2025-03-20,Shopping,Amazon - monitor stand,34.99,Credit Card
2025-03-21,Groceries,Safeway,57.33,Debit Card
2025-03-22,Dining,Taco Bell,9.87,Debit Card
2025-03-23,Transport,Lyft to concert,22.40,Credit Card
2025-03-23,Entertainment,Concert tickets x2,156.00,Credit Card
2025-03-24,Groceries,Whole Foods Market,69.78,Credit Card
2025-03-25,Dining,Thai takeout,32.50,Credit Card
2025-03-26,Subscription,iCloud Storage,2.99,Credit Card
2025-03-27,Shopping,Uniqlo - spring clothes,112.47,Credit Card
2025-03-28,Groceries,Costco,176.89,Credit Card
2025-03-29,Dining,Birthday dinner out,145.00,Credit Card
2025-03-30,Health,Annual physical copay,40.00,Debit Card
2025-03-31,Groceries,Trader Joe's,52.14,Debit Card
2025-03-31,Subscription,ChatGPT Plus,20.00,Credit Card
2025-01-04,Entertainment,Movie tickets x2,32.00,Credit Card
2025-01-19,Entertainment,Bowling night,28.50,Debit Card
2025-02-07,Entertainment,Escape room,35.00,Credit Card
2025-02-22,Entertainment,Comedy show tickets,48.00,Credit Card
2025-03-08,Entertainment,Hiking gear rental,25.00,Debit Card
2025-01-09,Health,Pharmacy - vitamins,24.99,Debit Card
2025-02-11,Health,Eye exam copay,30.00,Debit Card
2025-03-04,Health,Pharmacy - allergy meds,18.75,Debit Card
2025-01-14,Transport,Parking garage monthly,150.00,Bank Transfer
2025-02-14,Transport,Parking garage monthly,150.00,Bank Transfer
2025-03-14,Transport,Parking garage monthly,150.00,Bank Transfer
2025-01-21,Insurance,Renters insurance,42.00,Bank Transfer
2025-02-21,Insurance,Renters insurance,42.00,Bank Transfer
2025-03-21,Insurance,Renters insurance,42.00,Bank Transfer
